DB.origen,id_intern,Latitude,Longitude,Forest_type,Leaf_N,Wood_N,Root_N,Litter_N,Leaf_NPP,Wood_NPP,Root_NPP,Litter_NPP,Nstock_leaves,Nstock_wood,Nstock_roots,Nstock_litter,MAT,MAP,Altitude,Gross_Nuptake,Reabsorved,Net_Nuptake,Stand_age,Stand_density,Soil_CEC,Soil_ph,Soil_N,Soil_CN,Myco.type,AM_percent,MAT_wc,MAP_wc,Alt_wc,Soil_CN_sg,Soil_ph_sg,woodiness,MAT_MAP_wc,AM_map,N_stocks_sg,Bact,Fung,Nlimit,mic_C,mic_N,N,BD,soil_N_combi,soil_BD_sg,N_stocks_combi,Predicted_Net_Nuptake,Net_Nuptake_Combi,MAT_combi,MAP_combi,Alt_combi,Soil_CN_combi,Soil_ph_combi,MAT_MAP_combi,Biomes$BIOME,regions,abg_to_roots,totalNPP,Leaf_NUE,Wood_NUE,Root_NUE,NUE,AM_combi,noy,nhx,ndep
Tian,plot2,23.2,112.5,Broadleaved,2.045825243,1.211165049,1.087356322,NA,560,5720,1420,NA,11.45662136,69.2786408,15.44045977,NA,21,1996,200,96.17572194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.45416641,1819,341,1.053940177,51.0500679,Woody,37213.71094,0,0.49337557,2.792850018,1.043385983,-0.259564281,104.0579987,15.61680031,294.7841797,111.5812149,294.7841797,111.5812149,0.493385654,74.85336598,74.85336598,21,1996,200,1.053940177,5.10500679,41916,1,Trop,5.228812054,7700,273.72817,4722.725449,1305.919662,80.0617853,0,11.85988235,10.81434155,22.6742239
Tian,plot4,30.7,103.5,Broadleaved,2.409875,1.116392405,1.201351351,NA,3200,2880,780,NA,77.116,32.15210126,9.370540538,NA,15.2,1244,750,118.6386418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.00416756,1165,657,0.916364908,66.80246735,Woody,18630.29102,0,0.655815065,2.721302271,1.43438375,-0.163161114,80.01249695,12.18109989,350.3276978,124.8027496,350.3276978,124.8027496,0.655827899,90.92950268,90.92950268,15.2,1244,750,0.916364908,6.680246735,18908.8,5,Temp,11.6608109,6860,1327.869703,2579.738081,649.2688416,57.82264443,0,15.60522938,9.755261421,25.3604908
Tian,plot5,34.1,107.7,Broadleaved,2.313239437,0.820503597,1.236384615,NA,2840,5920,1660,NA,65.69600001,48.57381295,20.52398461,NA,11.8,734,1129,134.7937976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.670833588,714,1256,1.171575904,62.48677826,Woody,6913.899902,0,0.6339131,2.658099651,1.204482317,0.019848,71.89379883,7.754330158,360.0675964,117.4381027,360.0675964,117.4381027,0.634284831,102.4913341,102.4913341,11.8,734,1129,1.171575904,6.248677826,8661.2,4,Temp,5.567623204,10420,1227.715538,7215.081106,1342.624277,77.30326015,0,14.35258675,7.123188019,21.47577477
Tian,plot6,36.2,118.6,Broadleaved,2.492716049,0.852345679,1.41,NA,2740,4700,960,NA,68.30041974,40.06024691,13.536,NA,10.8,845.9,309,121.8966667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.824999809,804,770,1.270907044,68.10453033,Woody,7905.999512,0.59061116,0.465848923,2.305146456,0.99741143,NA,98.32080078,13.31540012,246.1667175,126.2975082,246.1667175,126.2975082,0.466353646,93.2611877,93.2611877,10.8,845.9,309,1.270907044,6.810453033,9135.72,4,Temp,8.005368399,8400,1099.202615,5514.19467,680.8510638,68.91082612,59.06111598,22.58813858,10.59173107,33.17986965
Tian,plot7,36.2,120.6,Broadleaved,2.680380952,0.875454546,1.517837838,NA,2740,4700,960,NA,73.44243808,41.14636364,14.57124324,NA,11.9,743.3,294,129.160045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.720832825,777,645,1.350215912,63.36568451,Woody,7556.325195,NA,0.44596833,NA,NA,-0.00780495,NA,NA,239.1667328,124.3415222,239.1667328,124.3415222,0.446075334,98.4594016,98.4594016,11.9,743.3,294,1.350215912,6.336568451,8845.27,4,Temp,7.864037394,8400,1022.242752,5368.639664,632.4786324,65.0355921,NA,15.08383942,7.827884674,22.91172409
Tian,plot8,36.2,120.6,Broadleaved,2.25,0.856666667,1.343333333,NA,2740,4700,960,NA,61.65,40.26333333,12.896,NA,11.9,743.3,300,114.8093333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.720832825,777,645,1.350215912,63.36568451,Woody,7556.325195,NA,0.44596833,NA,NA,-0.00780495,NA,NA,239.1667328,124.3415222,239.1667328,124.3415222,0.446075334,88.18896462,88.18896462,11.9,743.3,300,1.350215912,6.336568451,8845.27,4,Temp,7.90270885,8400,1217.777778,5486.381321,714.6401987,73.16478335,NA,15.08383942,7.827884674,22.91172409
Tian,plot16,31.6,115.8,Broadleaved,1.223,0.36,0.524,NA,3300,3720,1300,NA,40.359,13.392,6.812,NA,14.2,1177.5,400,60.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.55000019,1230,152,1.035564184,59.68981171,Woody,19116.25,0,0.361747086,2.632496119,1.227581859,-0.237643778,50.41680145,10.83100033,193.7129059,124.4904175,193.7129059,124.4904175,0.361731008,49.36625257,49.36625257,14.2,1177.5,400,1.035564184,5.968981171,16720.5,4,Temp,7.890634175,8320,2698.282911,10333.33333,2480.916031,137.3776068,0,21.18274879,13.61245823,34.79520702
Tian,plot20,27.1,117.3,Broadleaved,1.809,0.36,0.387,NA,10180,4600,1360,NA,184.1562,16.56,5.2632,NA,12.7,2204.4,1330,205.9794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.74583244,1759,373,1.591222405,50.09717941,Woody,31251.56641,0,0.3824929,3.21116519,1.509371042,-0.280800015,31.45709991,5.999810219,200.402359,127.4529724,200.402359,127.4529724,0.383128145,153.4370474,153.4370474,12.7,2204.4,1330,1.591222405,5.009717941,27995.88,1,Trop,38.13577291,16140,5627.418463,12777.77778,3514.211886,78.3573503,0,13.20925617,8.85601902,22.06527519
Tian,plot21,27,118.1,Broadleaved,1.476,0.36,0.462,NA,6620,18720,4640,NA,97.7112,67.392,21.4368,NA,14.8,1952,870,186.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.36666679,1722,330,1.549173355,51.29006958,Woody,31670.44922,0,0.360537261,2.451644182,1.322731256,-0.297319114,47.30550003,9.237819672,192.0292969,125.1830368,192.0292969,125.1830368,0.360582158,139.5247665,139.5247665,14.8,1952,870,1.549173355,5.129006958,28889.6,1,Trop,7.701858486,29980,4485.094851,52000,10043.29004,160.7162003,0,13.20925617,8.85601902,22.06527519
Tian,plot22,34.55,105.88,Broadleaved,1.59,0.36,0.483,NA,3620,6480,1300,NA,57.558,23.328,6.279,NA,8.9,564.1,1625,87.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.77499962,616,1114,NA,NA,Woody,7253.399902,0.174361989,NA,2.356257915,0.96061784,-0.021840001,63.7867012,9.054530144,NA,NA,NA,NA,NA,68.40462296,68.40462296,8.9,564.1,1625,NA,NA,5020.49,4,Temp,12.88198758,11400,2276.72956,18000,2691.511387,130.7864395,17.43619889,13.50367737,7.78472662,21.28840399
